number,title,html_url,assignee,creater
6,Update Readme to include new dataset link,https://github.com/Mahim1997/wQFM-2020/pull/6, ,Mahim1997
5,KeyError in annotating branches,https://github.com/Mahim1997/wQFM-2020/issues/5,zahinwahab,jaum20
4,Nullpointer issues,https://github.com/Mahim1997/wQFM-2020/pull/4,zahinwahab,zahinwahab
3,Exception for a particular input,https://github.com/Mahim1997/wQFM-2020/issues/3,zahinwahab,Mahim1997
2,Precision problems for smaller weights,https://github.com/Mahim1997/wQFM-2020/issues/2,zahinwahab,Mahim1997
1,Applying Multi-Threading,https://github.com/Mahim1997/wQFM-2020/pull/1,zahinwahab,Mahim1997
